Date	WSPD	WVHT	u10
2014-01-16 09:50:00	5.7	1.12	5.720689468556013
2014-01-16 10:50:00	4.3	1.01	4.31560784470015
2014-01-16 11:50:00	4.6	1.12	4.616696764097834
2014-01-16 12:50:00	4.4	1.08	4.4159708178327115
2014-01-16 13:50:00	3.5	1.08	3.5127040596396566
2014-01-16 14:50:00	2.8	1.06	2.8101632477117255
2014-01-16 15:50:00	1.7	0.99	1.7061705432535477
2014-01-16 16:50:00	2.0	0.98	2.0072594626512323
2014-01-16 17:50:00	2.6	0.98	2.609437301446602
2014-01-16 18:50:00	1.7	0.97	1.7061705432535477
2014-01-16 19:50:00	1.4	1.04	1.4050816238558628
2014-01-16 20:50:00	1.7	1.02	1.7061705432535477
2014-01-16 21:50:00	0.2	0.92	0.20072594626512327
2014-01-16 22:50:00	0.9	1.0	0.9032667581930547
2014-01-16 23:50:00	4.1	1.02	4.114881898435026
2014-01-17 00:50:00	2.0	1.02	2.0072594626512323
2014-01-17 01:50:00	1.6	1.09	1.6058075701209862
2014-01-17 02:50:00	1.7	1.24	1.7061705432535477
2014-01-17 03:50:00	3.8	1.07	3.8137929790373413
2014-01-17 04:50:00	3.8	1.12	3.8137929790373413
2014-01-17 07:50:00	5.2	1.12	5.218874602893204
2014-01-17 08:50:00	5.6	1.08	5.620326495423451
2014-01-17 09:50:00	5.7	1.03	5.720689468556013
2014-01-17 10:50:00	6.2	1.15	6.22250433421882
2014-01-17 11:50:00	4.4	1.09	4.4159708178327115
2014-01-17 12:50:00	4.1	1.15	4.114881898435026
2014-01-17 13:50:00	4.8	1.03	4.817422710362957
2014-01-17 14:50:00	5.0	1.06	5.018148656628081
2014-01-17 15:50:00	4.0	1.1	4.014518925302465
2014-01-17 16:50:00	5.2	0.99	5.218874602893204
2014-01-17 17:50:00	5.1	1.05	5.118511629760643
2014-01-17 18:50:00	6.1	1.12	6.122141361086259
2014-01-17 19:50:00	6.0	1.02	6.021778387953698
2014-01-17 20:50:00	7.5	1.14	7.527222984942123
2014-01-17 21:50:00	7.4	1.22	7.42686001180956
2014-01-17 22:50:00	8.4	1.23	8.430489743135176
2014-01-17 23:50:00	7.6	1.34	7.6275859580746825
2014-01-18 01:50:00	6.5	1.47	6.5235932536165055
2014-01-18 02:50:00	5.4	1.35	5.419600549158328
2014-01-18 03:50:00	4.7	1.43	4.717059737230397
2014-01-18 04:50:00	3.8	1.26	3.8137929790373413
2014-01-18 05:50:00	3.7	1.33	3.71343000590478
2014-01-18 06:50:00	1.7	1.23	1.7061705432535477
2014-01-18 07:50:00	1.8	1.2	1.8065335163861094
2014-01-18 08:50:00	3.3	1.17	3.311978113374533
2014-01-18 09:50:00	5.1	1.13	5.118511629760643
2014-01-18 10:50:00	6.2	1.08	6.22250433421882
2014-01-18 11:50:00	6.5	1.08	6.5235932536165055
2014-01-18 12:50:00	7.0	1.22	7.025408119279313
2014-01-18 13:50:00	6.7	1.11	6.72431919988163
2014-01-18 14:50:00	5.9	1.2	5.921415414821136
2014-01-18 15:50:00	2.4	1.12	2.4087113551814787
2014-01-18 16:50:00	2.6	1.2	2.609437301446602
2014-01-18 17:50:00	6.9	1.16	6.925045146146752
2014-01-18 18:50:00	7.3	1.14	7.326497038676998
2014-01-18 20:50:00	10.5	1.47	10.53811217891897
2014-01-18 21:50:00	10.3	1.65	10.337386232653849
2014-01-18 22:50:00	11.6	1.76	11.642104883377149
2014-01-18 23:50:00	10.9	1.96	10.939564071449217
2014-01-19 00:50:00	10.3	1.8	10.337386232653849
2014-01-19 01:50:00	10.9	1.8	10.939564071449217
2014-01-19 02:50:00	10.8	1.8	10.839201098316655
2014-01-19 03:50:00	10.3	1.69	10.337386232653849
2014-01-19 04:50:00	9.2	1.6	9.233393528195668
2014-01-19 05:50:00	10.3	1.56	10.337386232653849
2014-01-19 06:50:00	8.9	1.66	8.932304608797985
2014-01-19 07:50:00	8.9	1.88	8.932304608797985
2014-01-19 08:50:00	8.6	1.71	8.6312156894003
2014-01-19 09:50:00	8.7	1.57	8.731578662532861
2014-01-19 10:50:00	10.2	1.63	10.237023259521285
2014-01-19 11:50:00	11.5	1.72	11.541741910244587
2014-01-19 12:50:00	10.9	1.75	10.939564071449217
2014-01-19 13:50:00	11.3	1.9	11.341015963979464
2014-01-19 14:50:00	12.1	2.09	12.143919749039956
2014-01-19 15:50:00	13.0	2.18	13.047186507233011
2014-01-19 16:50:00	12.8	2.28	12.84646056096789
2014-01-19 17:50:00	11.3	2.44	11.341015963979464
2014-01-19 18:50:00	12.5	2.13	12.545371641570203
2014-01-19 19:50:00	12.4	2.39	12.44500866843764
2014-01-19 20:50:00	11.6	2.41	11.642104883377149
2014-01-19 21:50:00	13.0	2.23	13.047186507233011
2014-01-19 22:50:00	12.1	2.23	12.143919749039956
2014-01-19 23:50:00	13.3	2.24	13.348275426630696
2014-01-20 00:50:00	13.0	2.53	13.047186507233011
2014-01-20 01:50:00	12.7	2.49	12.746097587835326
2014-01-20 02:50:00	13.6	2.71	13.649364346028381
2014-01-20 03:50:00	14.7	2.84	14.753357050486557
2014-01-20 04:50:00	14.5	2.77	14.552631104221435
2014-01-20 05:50:00	14.2	2.97	14.25154218482375
2014-01-20 06:50:00	13.3	2.84	13.348275426630696
2014-01-20 07:50:00	14.0	2.63	14.050816238558626
2014-01-20 09:50:00	12.4	2.5	12.44500866843764
2014-01-20 10:50:00	11.7	2.33	11.742467856509709
2014-01-20 11:50:00	11.3	2.26	11.341015963979464
2014-01-20 12:50:00	11.4	2.26	11.441378937112026
2014-01-20 13:50:00	10.3	2.22	10.337386232653849
2014-01-20 14:50:00	9.8	2.4	9.83557136699104
2014-01-20 15:50:00	9.8	2.28	9.83557136699104
2014-01-20 16:50:00	9.1	2.09	9.133030555063108
2014-01-20 17:50:00	7.5	1.97	7.527222984942123
2014-01-20 18:50:00	9.7	1.83	9.735208393858477
2014-01-20 19:50:00	9.9	1.69	9.935934340123602
2014-01-20 20:50:00	10.9	1.72	10.939564071449217
2014-01-20 21:50:00	9.5	1.66	9.534482447593355
2014-01-20 22:50:00	9.0	1.6	9.032667581930546
2014-01-20 23:50:00	9.3	1.64	9.333756501328232
2014-01-21 00:50:00	9.1	1.64	9.133030555063108
